(1) went to new D (2) went to new R (3) open seat to D (4) open seat to R (5) Pa: didn’t return,,,2011,2013,2015,2017,2019,State,BA,BS,JD,PhD,MBA,MPA/MPP,MA ,MS,MPH,MD,DMD,Other bachelors,Other postgrad,JDs,Has a non-JD postgraduate degree,Has a MD,Has a bachelors or above,JD + another postgrad degree,Has a postgraduate degree,BS and Replaced,BA,BA and Replaced,NO BA or BS and Replaced,New Member,BA (Replacement),BS (Replacement),JD (Replacement),PhD (Replacement,MBA (Replacement),MPA/MPP (Replacement),MA (Replacement),MS (Replacement),MPH (Replacement),MD (Replacement),DMD (Replacement),Other bachelors,Other postgrad,,
,"Marcy Kaptur, D-Ohio","U. of Wisconsin, B.A. 1968 (history)
U. of Michigan, M.U.P. 1974 (urban planning)
Massachusetts Institute of Technology, attended 1981 (urban planning)",,,1,1,1,Ohio,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Trent Kelly, R-Miss.","East Central Community College, A.A. 1986
U. of Mississippi, B.B.A. 1989 (marketing/marketing management)
U. of Mississippi, J.D. 1994",,,1,1,1,Miss.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Derek Kilmer, D-Wash.","Princeton U., A.B. 1996 (public and international affairs)
Oxford U., D.Phil. 2003 (Marshall scholar)",,,1,1,1,Wash.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Adam Kinzinger, R-Ill.","Illinois State U., B.A. 2000 (political science)",,,1,1,1,Ill.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Ann McLane Kuster, D-N.H.","Dartmouth College, A.B. 1978 (environmental policy studies)
Georgetown U., J.D. 1984",,,1,1,1,N.H.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Darin LaHood, R-Ill.","Loras College, B.A. 1990 (political science)
John Marshall Law School, J.D. 1997",,,1,1,1,Ill.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Bob Latta, R-Ohio","Ohio Northern U., attended 1974-75
Bowling Green State U., B.A. 1978 (history)
Ohio Northern U. Claude W. Pettit College of Law, attended 1978-79
U. of Toledo, J.D. 1981",,,1,1,1,Ohio,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"John Lewis, D-Ga.","American Baptist Theological Seminary, B.A. 1961 (theology)
Fisk U., B.A. 1963 (religion & philosophy)",,,1,1,1,Ga.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Ted Lieu, D-Calif.","Stanford U., A.B. 1991 (political science)
Stanford U., B.S. 1991 (computer science)
Georgetown U., J.D. 1994",,,1,1,1,Calif.,1,1,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Zoe Lofgren, D-Calif.","Stanford U., A.B. 1970 (political science)
U. of Santa Clara, J.D. 1975",,,1,1,1,Calif.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Blaine Luetkemeyer, R-Mo.","Lincoln U. (Mo.), B.A. 1974 (political science)",,,1,1,1,Mo.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Ben Ray Luján, D-N.M.","U. of New Mexico, attended 1990-95
New Mexico Highlands U., B.B.A. 2007 (business administration)",,,1,1,1,N.M.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Kenny Marchant, R-Texas","Bethany Nazarene College, B.A. 1974 (religion)
Nazarene Theological Seminary, attended 1975-76",,,1,1,1,Texas,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Doris Matsui, D-Calif.","U. of California, Berkeley, B.A. 1966 (psychology)",,,1,1,1,Calif.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Michael McCaul, R-Texas","Trinity U., B.A. 1984 (business & history)
St. Mary's U. (Texas), J.D. 1987",,,1,1,1,Texas,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Tom McClintock, R-Calif.","U. of California, Los Angeles, B.A. 1978 (political science)",,,1,1,1,Calif.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Betty McCollum, D-Minn.","Inver Hills Community College, A.A. 1980
College of St. Catherine, B.A. 1987 (education)",,,1,1,1,Minn.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Patrick T. McHenry, R-N.C.","North Carolina State U., attended 1994-97
Belmont Abbey College, B.A. 2000 (history)",,,1,1,1,N.C.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Alex X. Mooney, R-W.Va.","Dartmouth College, B.A. 1993 (philosophy)",,,1,1,1,W.Va.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Gwen Moore, D-Wis.","Marquette U., B.A. 1978 (political science)",,,1,1,1,Wis.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Pete Olson, R-Texas","Rice U., B.A. 1985 (computer science)
U. of Texas, J.D. 1988",,,1,1,1,Texas,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Nancy Pelosi, D-Calif.","Trinity College (D.C.), A.B. 1962",,,1,1,1,Calif.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Ed Perlmutter, D-Colo.","U. of Colorado, B.A. 1975 (political science)
U. of Colorado, J.D. 1978",,,1,1,1,Colo.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Scott Peters, D-Calif.","Duke U., B.A. 1980 (economics & political science)
New York U., J.D. 1984",,,1,1,1,Calif.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Collin C. Peterson, D-Minn.","Moorhead State College, B.A. 1966 (accounting)",,,1,1,1,Minn.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Chellie Pingree, D-Maine","U. of Southern Maine, attended 1973
College of the Atlantic, B.A. 1979 (human ecology)",,,1,1,1,Maine,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mark Pocan, D-Wis.","U. of Wisconsin, B.A. 1986 (journalism)",,,1,1,1,Wis.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"John Ratcliffe, R-Texas","U. of Notre Dame, B.A. 1987 (government and international studies)
Southern Methodist U., J.D. 1989",,,1,1,1,Texas,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Cedric L. Richmond, D-La.","Morehouse College, B.A. 1995 (business administration)
Tulane U., J.D. 1998",,,1,1,1,La.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Harold Rogers, R-Ky.","Western Kentucky U., attended 1956-57
U. of Kentucky, B.A. 1962
U. of Kentucky, LL.B. 1964",,,1,1,1,Ky.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"David Rouzer, R-N.C.","North Carolina State U., B.A. 1994 (chemistry)
North Carolina State U., B.S. 1994 (agricultural economics)
North Carolina State U., B.S. 1994 (agricultural business management)",,,1,1,1,N.C.,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Lucille Roybal-Allard, D-Calif.","California State U., Los Angeles, B.A. 1965 (speech therapy)",,,1,1,1,Calif.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Tim Ryan, D-Ohio","Youngstown State U., attended 1991-92
Bowling Green State U., B.A. 1995 (political science)
Franklin Pierce Law Center, J.D. 2000",,,1,1,1,Ohio,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Linda T. Sánchez, D-Calif.","U. of California, Berkeley, B.A. 1991 (Spanish literature)
U. of California, Los Angeles, J.D. 1995",,,1,1,1,Calif.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"John Sarbanes, D-Md.","Princeton U., A.B. 1984 (public & international affairs)
Harvard U., J.D. 1988",,,1,1,1,Md.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Adam B. Schiff, D-Calif.","Stanford U., A.B. 1982 (political science & pre-med)
Harvard U., J.D. 1985",,,1,1,1,Calif.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Kurt Schrader, D-Ore.","Cornell U., B.A. 1973 (government)
U. of Illinois, B.S. 1975 (veterinary medicine)
U. of Illinois, D.V.M. 1977",,,1,1,1,Ore.,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Austin Scott, R-Ga.","U. of Georgia, B.B.A. 1993 (risk management and insurance)",,,1,1,1,Ga.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Robert C. Scott, D-Va.","Harvard U., A.B. 1969
Boston College, J.D. 1973",,,1,1,1,Va.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jim Sensenbrenner, R-Wis.","Stanford U., A.B. 1965 (political science)
U. of Wisconsin, J.D. 1968",,,1,1,1,Wis.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Brad Sherman, D-Calif.","U. of California, Los Angeles, B.A. 1974 (political communication)
Harvard U., J.D. 1979",,,1,1,1,Calif.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Adam Smith, D-Wash.","Fordham U., B.A. 1987 (political science)
U. of Washington, J.D. 1990",,,1,1,1,Wash.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Christopher H. Smith, R-N.J.","Trenton State College, B.A. 1975 (business)",,,1,1,1,N.J.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jackie Speier, D-Calif.","U. of California, Davis, B.A. 1972 (political science)
U. of California, Hastings, J.D. 1976",,,1,1,1,Calif.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Eric Swalwell, D-Calif.","Campbell U., attended 1999-2001
U. of Maryland, B.A. 2003 (government and politics)
U. of Maryland, J.D. 2006",,,1,1,1,Calif.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mark Takano, D-Calif.","Harvard U., A.B. 1983 (government)
U. of California, Riverside, M.F.A. 2010 (creative writing)",,,1,1,1,Calif.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mac Thornberry, R-Texas","Texas Tech U., B.A. 1980 (history)
U. of Texas, J.D. 1983",,,1,1,1,Texas,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Scott Tipton, R-Colo.","Fort Lewis College, B.A. 1978 (political science)",,,1,1,1,Colo.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Norma J. Torres, D-Calif.","Mount San Antonio College, attended 1999-00
National Labor College, B.A. 2012 (labor studies)
Rio Hondo College, attended",,,1,1,1,Calif.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Fred Upton, R-Mich.","U. of Michigan, B.A. 1975 (journalism)",,,1,1,1,Mich.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Filemon Vela, D-Texas","Loyola U. New Orleans, attended 1981-82
Georgetown U., B.A. 1985 (government)
U. of Texas, J.D. 1987",,,1,1,1,Texas,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Ann Wagner, R-Mo.","U. of Missouri, B.S.B.A. 1984",,,1,1,1,Mo.,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mark Walker, R-N.C.","Trinity Baptist College, attended 1987-88
Houston Community College, attended 1990
Piedmont Baptist College, B.A. 1999 (biblical studies)",,,1,1,1,N.C.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jackie Walorski, R-Ind.","Liberty Baptist College, attended 1981-83
Taylor U., B.A. 1985 (mass communication)",,,1,1,1,Ind.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Maxine Waters, D-Calif.","California State U., Los Angeles, B.A. 1970",,,1,1,1,Calif.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Bonnie Watson Coleman, D-N.J.","Thomas Edison State College, B.A. 1985 (social sciences & history)
Rutgers U., attended",,,1,1,1,N.J.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Peter Welch, D-Vt.","College of the Holy Cross, A.B. 1969 (history)
U. of California, Berkeley, J.D. 1973",,,1,1,1,Vt.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Brad Wenstrup, R-Ohio","U. of Cincinnati, B.A. 1980 (psychology)
William M. Scholl College of Podiatric Medicine, D.P.M. 1985
William M. Scholl College of Podiatric Medicine, B.S. 1985 (biological sciences)",,,1,1,1,Ohio,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Frederica S. Wilson, D-Fla.","Fisk U., B.A. 1963 (childhood education)
U. of Miami, M.Ed. 1972 (elementary education)",,,1,1,1,Fla.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Joe Wilson, R-S.C.","Washington and Lee U., B.A. 1969 (political science)
U. of South Carolina, J.D. 1972",,,1,1,1,S.C.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Steve Womack, R-Ark.","Arkansas Tech, B.A. 1979 (speech)",,,1,1,1,Ark.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Rob Woodall, R-Ga.","Furman U., B.A. 1992 (political science)
U. of Georgia, J.D. 1997",,,1,1,1,Ga.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"John Yarmuth, D-Ky.","Yale U., B.A. 1969 (American studies)
Georgetown U. Law School, attended 1971-72",,,1,1,1,Ky.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Don Young, R-Alaska","Yuba Junior College, A.A. 1952
Chico State College, B.A. 1958",,,1,1,1,Alaska,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Ann Kirkpatrick,University of Arizona B.A. J.D.,0,1,1,0,1,,1,,1,,,,,,,,,,,1,0,0,1,0,1,FALSE,1,FALSE,FALSE,TRUE,1,0,1,0,0,0,0,0,0,0,0,0,0,,
5,"Lou Barletta, R-Pa.","Bloomsburg State College, attended 1973-76
Luzerne County Community College, attended 1976-77",,,1,1,0,Pa.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,"Robert A. Brady, D-Pa.","St. Thomas More H.S., graduated 1963",,,1,1,0,Pa.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,"Steve Knight, R-Calif.","Antelope Valley College, A.A. 2006 (administration of justice)",,,1,1,0,Calif.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,"Trent Franks, R-Ariz.",,,,1,1,0,Ariz.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,"Dave Reichert, R-Wash.","Concordia College (Ore.), A.A. 1970",,,1,1,0,Wash.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,"David Valadao, R-Calif.","College of the Sequoias, attended 1996-98",,,1,1,0,Calif.,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,"Michelle Lujan Grisham, D-N.M.","U. of New Mexico, B.U.S. 1982
U. of New Mexico, J.D. 1987",,,1,1,0,N.M.,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,"Mia Love, R-Utah","U. of Hartford, B.F.A. 1997 (music theater)",,,1,1,0,Utah,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,"Keith Rothfus, R-Pa.","State U. of New York, Buffalo, attended 1980-82
State U. of New York, Buffalo State, B.S. 1984 (information systems management)
U. of Notre Dame, J.D. 1990",,,1,1,0,Pa.,0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,"Dan Donovan, R-N.Y.","St. John's U., B.S. 1978 (criminal justice)
Fordham U., J.D. 1988",,,1,1,0,N.Y.,0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,"Blake Farenthold, R-Texas","University of Texas at Austin, B.S.
St. Mary’s University, Texas, J.D.",,,1,1,0,Texas,0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,"John Delaney, D-Md.","Columbia U., B.S. 1985 (biology)
Georgetown U., J.D. 1988",,,1,1,0,Md.,0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,"John J. Duncan Jr., R-Tenn.","U. of Tennessee, B.S. 1969 (journalism)
George Washington U., J.D. 1973",,,1,1,0,Tenn.,0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,Mike Pompeo,"United States Military Academy, B.S.
Harvard University, J.D.",,,1,1,0,,0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,"Gregg Harper, R-Miss.","Mississippi College, B.S. 1978 (chemistry)
U. of Mississippi, J.D. 1981",,,1,1,0,Miss.,0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,Mick Mulvaney,"Georgetown University, B.S.
University of North Carolina at Chapel Hill, J.D.",,,1,1,0,,0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,"Evan Jenkins, R-W.V.","University of Florida, B.S.
Sanford University, J.D.",,,1,1,0,W.V.,0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,"Diane Black, R-Tenn.","Anne Arundel Community College, A.S.N. 1971
Belmont U., B.S.N. 1992",,,1,1,0,Tenn.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,"Marsha Blackburn, R-Tenn.","Mississippi State U., B.S. 1973 (home economics)",,,1,1,0,Tenn.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,"Lynn Jenkins, R-Kan.","Weber State College, B.S. 1985 (accounting)
Kansas State U., A.A. 1985 (business administration)",,,1,1,0,Kan.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,"Frank A. LoBiondo, R-N.J.","Saint Joseph's U., B.S. 1968 (business administration)",,,1,1,0,N.J.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,"Kristi Noem, R-S.D.","Northern State U., attended 1990-92
South Dakota State U., B.S. 2011 (political science)",,,1,1,0,S.D.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,"James B. Renacci, R-Ohio","Indiana U. of Pennsylvania, B.S. 1980 (business administration)",,,1,1,0,Ohio,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,"Pete Sessions, R-Texas","Southwest Texas State U., attended 1973-74
Southwestern U., B.S. 1978 (political science)",,,1,1,0,Texas,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
