(1) went to new D (2) went to new R (3) open seat to D (4) open seat to R (5) Pa: didn’t return,,,2011,2013,2015,2017,2019,State,BA,BS,JD,PhD,MBA,MPA/MPP,MA ,MS,MPH,MD,DMD,Other bachelors,Other postgrad,JDs,Has a non-JD postgraduate degree,Has a MD,Has a bachelors or above,JD + another postgrad degree,Has a postgraduate degree,BS and Replaced,BA,BA and Replaced,NO BA or BS and Replaced,New Member,BA (Replacement),BS (Replacement),JD (Replacement),PhD (Replacement,MBA (Replacement),MPA/MPP (Replacement),MA (Replacement),MS (Replacement),MPH (Replacement),MD (Replacement),DMD (Replacement),Other bachelors,Other postgrad,,
,"Debbie Dingell, D-Mich.","Georgetown U., B.S.F.S. 1992
Georgetown U., M.A. 1998 (liberal studies)",,,1,1,1,Mich.,0,1,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Brett Guthrie, R-Ky.","U.S. Military Academy, B.S. 1987 (mathematical economics)
Yale U., M.P.P.M 1997",,,1,1,1,Ky.,0,1,0,0,0,1,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Vicky Hartzler, R-Mo.","U. of Missouri, B.S. 1983 (home economics & education)
Central Missouri State U., M.S. 1992 (education)",,,1,1,1,Mo.,0,1,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Bill Johnson, R-Ohio","Troy U., B.S. 1979 (computer science)
Georgia Institute of Technology, M.S. 1984 (computer science)",,,1,1,1,Ohio,0,1,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Eddie Bernice Johnson, D-Texas","Texas Christian U., B.S. 1967 (nursing)
Southern Methodist U., M.P.A. 1976",,,1,1,1,Texas,0,1,0,0,0,1,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Devin Nunes, R-Calif.","College of the Sequoias, A.A. 1993 (agriculture)
California Polytechnic State U., B.S. 1995 (agricultural business)
California Polytechnic State U., M.S. 1996 (agriculture)",,,1,1,1,Calif.,0,1,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Phil Roe, R-Tenn.","Austin Peay State U., B.S. 1967 (biology)
U. of Tennessee, M.D. 1973",,,1,1,1,Tenn.,0,1,0,0,0,0,0,0,0,1,0,,,0,1,1,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Raul Ruiz, D-Calif.","U. of California, Los Angeles, B.S. 1994 (physiological science)
Harvard U., M.D. 2001
Harvard U., M.P.P. 2001
Harvard U., M.P.H. 2007",,,1,1,1,Calif.,0,1,0,0,0,1,0,0,1,1,0,,,0,1,1,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mike Simpson, R-Idaho","Utah State U., attended 1968-72 (pre-dentistry)
Washington U. (Mo.), D.M.D. 1977
Utah State U., B.S. 2002 (pre-dentistry)",,,1,1,1,Idaho,0,1,0,0,0,0,0,0,0,0,1,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Tim Walberg, R-Mich.","Western Illinois U., attended 1969-70 (forestry)
Fort Wayne Bible College, B.S. 1975 (Christian education)
Wheaton College (Ill.), M.A. 1978 (communications)",,,1,1,1,Mich.,0,1,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Brendan F. Boyle, D-Pa.","U. of Notre Dame, B.A. 1999 (government)
Harvard U., M.P.P. 2005",,,1,1,1,Pa.,1,0,0,0,0,1,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Chris Collins, R-N.Y.","North Carolina State U., B.S. 1972 (mechanical engineering)
U. of Alabama, Birmingham, M.B.A. 1975",,,1,1,1,N.Y.,1,1,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Brian Higgins, D-N.Y.","State U. of New York, Buffalo State, B.A. 1984 (political science)
State U. of New York, Buffalo State, M.A. 1985 (history)
Harvard U., M.P.A. 1996",,,1,1,1,N.Y.,1,0,0,0,0,1,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Nydia M. Velázquez, D-N.Y.","U. of Puerto Rico, B.A. 1974 (political science)
New York U., M.A. 1976 (political science)",,,1,1,1,N.Y.,1,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Joyce Beatty, D-Ohio","Central State U., B.A. 1972 (drama)
Wright State U., M.S. 1975 (mental health counseling)
U. of Cincinnati, attended 1975-79",,,1,1,1,Ohio,1,0,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Julia Brownley, D-Calif.","Mount Vernon College, B.A. 1975 (political science)
American U., M.B.A. 1979",,,1,1,1,Calif.,1,0,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Vern Buchanan, R-Fla.","Cleary College, B.B.A. 1975 (business administration)
U. of Detroit, M.B.A. 1986",,,1,1,1,Fla.,1,0,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Cheri Bustos, D-Ill.","Illinois College, attended 1979-81
U. of Maryland, B.A. 1983 (government and politics)
U. of Illinois, Springfield, M.A. 1985 (public affairs reporting)",,,1,1,1,Ill.,1,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"André Carson, D-Ind.","Concordia U. Wisconsin, B.A. 2003 (management of criminal justice)
Indiana Wesleyan U., M.S. 2005 (management)",,,1,1,1,Ind.,1,0,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Gerald E. Connolly, D-Va.","Maryknoll College, B.A. 1971 (literature)
Harvard U., M.P.A. 1979",,,1,1,1,Va.,1,0,0,0,0,1,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Warren Davidson, R-Ohio","U.S. Military Academy, B.S. 1995 (American history)
U. of Notre Dame, M.B.A. 2005",,,1,1,1,Ohio,1,1,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
